"Date","DryBulb","RelHum"
"2016-07-01 22:35:00.0",25.5,83
"2016-07-01 22:40:00.0",26.4,88
"2016-07-01 22:45:00.0",24.4,84
"2016-07-01 22:50:00.0",23.4,85
"2016-07-01 22:55:00.0",23.6,90
"2016-07-01 23:00:00.0",23.3,90
"2016-07-01 23:05:00.0",26.3,90
"2016-07-01 23:10:00.0",24,86
"2016-07-01 23:15:00.0",24.3,84
"2016-07-01 23:20:00.0",25.9,85
"2016-07-01 23:25:00.0",23.5,90
"2016-07-01 23:30:00.0",23.2,90
"2016-07-01 23:35:00.0",23,86
"2016-07-01 23:40:00.0",26.2,90
"2016-07-01 23:45:00.0",22.7,86
"2016-07-01 23:50:00.0",23.5,90
"2016-07-01 23:55:00.0",26.4,89
"2016-07-02 00:00:00.0",24.5,89
"2016-07-02 00:05:00.0",26.5,90
"2016-07-02 00:10:00.0",25.4,90
"2016-07-02 00:15:00.0",23,90
"2016-07-02 00:20:00.0",23.8,90
"2016-07-02 00:25:00.0",26.1,90
"2016-07-02 00:30:00.0",26.4,90
"2016-07-02 00:35:00.0",25.9,90
"2016-07-02 00:40:00.0",25.5,90
"2016-07-02 00:45:00.0",26.3,90
"2016-07-02 00:50:00.0",23.2,90
"2016-07-02 00:55:00.0",25.8,90
"2016-07-02 01:00:00.0",23.8,90
"2016-07-02 01:05:00.0",23.4,90
"2016-07-02 01:10:00.0",23.6,90
"2016-07-02 01:15:00.0",26,90
"2016-07-02 01:20:00.0",24.2,90
"2016-07-02 01:25:00.0",23.5,90
"2016-07-02 01:30:00.0",23.5,90
"2016-07-02 01:35:00.0",24.5,90
"2016-07-02 01:40:00.0",24.8,90
"2016-07-02 01:45:00.0",22.3,90
"2016-07-02 01:50:00.0",22.7,90
"2016-07-02 01:55:00.0",23.7,90
"2016-07-02 02:00:00.0",23.1,90
"2016-07-02 02:05:00.0",24.1,90
"2016-07-02 02:10:00.0",23.5,90
"2016-07-02 02:15:00.0",25.7,90
"2016-07-02 02:20:00.0",22.7,90
"2016-07-02 02:25:00.0",22.3,90
"2016-07-02 02:30:00.0",22.5,90
"2016-07-02 02:35:00.0",24.9,90
"2016-07-02 02:40:00.0",24,90
"2016-07-02 02:45:00.0",23.7,90
"2016-07-02 02:50:00.0",22.8,90
"2016-07-02 02:55:00.0",25,90
"2016-07-02 03:00:00.0",23.5,90
"2016-07-02 03:05:00.0",24.8,90
"2016-07-02 03:10:00.0",24.5,90
"2016-07-02 03:15:00.0",23.5,90
"2016-07-02 03:20:00.0",23.3,90
"2016-07-02 03:25:00.0",25.7,90
"2016-07-02 03:30:00.0",23.4,90
"2016-07-02 03:35:00.0",23.4,90
"2016-07-02 03:40:00.0",22.3,90
"2016-07-02 03:45:00.0",22.3,90
"2016-07-02 03:50:00.0",25.1,90
"2016-07-02 03:55:00.0",23.3,90
"2016-07-02 04:00:00.0",23.5,90
"2016-07-02 04:05:00.0",24.8,90
"2016-07-02 04:10:00.0",22,90
"2016-07-02 04:15:00.0",24.7,90
"2016-07-02 04:20:00.0",23.4,90
"2016-07-02 04:25:00.0",22.8,90
"2016-07-02 04:30:00.0",25.4,90
"2016-07-02 04:35:00.0",22,90
"2016-07-02 04:40:00.0",23.6,90
"2016-07-02 04:45:00.0",22,90
"2016-07-02 04:50:00.0",23.7,90
"2016-07-02 04:55:00.0",21.7,90
"2016-07-02 05:00:00.0",22.1,90
"2016-07-02 05:05:00.0",24.9,90
"2016-07-02 05:10:00.0",20.9,90
"2016-07-02 05:15:00.0",21.8,90
"2016-07-02 05:20:00.0",23.8,90
"2016-07-02 05:25:00.0",22.3,90
"2016-07-02 05:30:00.0",22.6,90
"2016-07-02 05:35:00.0",20.7,90
